DÃ­a	Concepto / Referencia	cargo	Abono	Saldo
23-12-2025	PAGO CUENTA DE TERCERO/ 0000034011 BNET    0447732945 15 ROLLOS CAL12	25,230.00		3,276,334.39
23-12-2025	RECIBO NO./P0Q3OB180ATX RECIBO NO.    X 00526042928     3003	2,043.46		3,301,564.39
22-12-2025	SPEI RECIBIDOHSBC/0156856441  021 3052857RCI HUDSON DE MEXICO		165,116.37	3,303,607.85
22-12-2025	SPEI RECIBIDOHSBC/0156736922  021 3057557PRODUCTOS MEDLINE SA DE CV		3,133,817.80	3,138,491.48
22-12-2025	PAGO CUENTA DE TERCERO/ 0005831023 BNET    1559840766 COMISIONES M Y TER	51,099.22		4,673.68
22-12-2025	SPEI ENVIADO STP/0027182510  646 0221225CASETAS	20,000.00		55,772.90
22-12-2025	SPEI ENVIADO BANORTE/0027180492  072 0221225GAS LP	25,000.00		75,772.90
22-12-2025	SPEI ENVIADO SANTANDER/0027180138  014 0221225FC00184111	30,000.00		100,772.90
19-12-2025	PAGO DE NOMINA/IN 4206634591 3R RECYCLING SA DE C V	11,033.79		130,772.90
19-12-2025	SPEI ENVIADO SCOTIABANK/0026836270  044 0191225BZ20	8,960.00		141,806.69
19-12-2025	SPEI RECIBIDOBANAMEX/0141049046  002 0191225MD1161		127,400.00	150,766.69
19-12-2025	SPEI ENVIADO BANREGIO/0026824766  058 0191225F2062	10,788.00		23,366.69
19-12-2025	SPEI ENVIADO SANTANDER/0026818953  014 0191225F623	7,424.00		34,154.69
19-12-2025	PAGO DE NOMINA/IN 4206634591 3R RECYCLING SA DE C V	5,222.04		41,578.69
19-12-2025	PAGO DE NOMINA/IN 4206634591 3R RECYCLING SA DE C V	74,995.86		46,800.73
19-12-2025	PAGO DE NOMINA/IN 4206634591 3R RECYCLING SA DE C V	55,704.25		121,796.59
19-12-2025	PAGO CUENTA DE TERCERO/ 0000981793 BNET    1573698006 Anticipo 20 Dic 25		5,000.00	177,500.84
19-12-2025	SPEI ENVIADO BANORTE/0026650508  072 0191225A11902	150,323.26		172,500.84
19-12-2025	SPEI ENVIADO BANAMEX/0026648109  002 0191225POLIZAS SEGUROS	55,512.50		322,824.10
19-12-2025	PAGO CUENTA DE TERCERO/ 0015516105 BNET    1515080858 FINIQUITO S51 SEAL	213.82		378,336.60
19-12-2025	SPEI ENVIADO BANORTE/0026614260  072 0191225SEM 51 MEDLINE	1,623.81		378,550.42
19-12-2025	SPEI ENVIADO BANORTE/0026613415  072 0191225SEM 51 NLD	1,951.60		380,174.23
19-12-2025	SPEI ENVIADO BANORTE/0026612309  072 0191225SEM 51 TERNIUM	1,662.40		382,125.83
19-12-2025	SPEI ENVIADO AZTECA/0026609900  127 0191225PAGO SERVICIOS	262,397.25		383,788.23
19-12-2025	TRASPASO ENTRE CUENTAS/7565681.1002.01 FOLIO: 0000000            32000.00USD		571,420.16	646,185.48
18-12-2025	SPEI RECIBIDOBANORTE/0134812783  072 0181225PAGO TOTAL MD1079 CARTON		30,000.00	74,765.32
18-12-2025	PAGO CUENTA DE TERCERO/ 0086617012 BNET    1539023480 SEALED AIR	205.00		44,765.32
18-12-2025	SPEI ENVIADO BANAMEX/0026383211  002 0181225FACTURA OFFICE	2,204.00		44,970.32
18-12-2025	IMSS/INF/AFORE VIA ELECT./352B160259 PAGO SIPARE Y4042418105 202511 655843	145,098.31		47,174.32
18-12-2025	SPEI ENVIADO AFIRME/0026345288  062 0181225FACT 316F34	3,034.56		192,272.63
18-12-2025	SPEI ENVIADO SANTANDER/0026344282  014 0181225GRUA POLIGRAPA	8,000.00		195,307.19
18-12-2025	SPEI ENVIADO BANORTE/0026271026  072 0181225GAS LP	40,000.00		203,307.19
17-12-2025	SPEI RECIBIDOBANAMEX/0127280493  002 0171225MD1156.T2575		214,774.80	243,307.19
17-12-2025	SPEI ENVIADO BAJIO/0025936276  030 0171225REFACCIONES MTY	20,050.00		28,532.39
17-12-2025	SPEI ENVIADO BANORTE/0025878591  072 0171225TRANSFERENCIA ENTRE CUENTAS	53,000.00		48,582.39
17-12-2025	TRASPASO ENTRE CUENTAS/7519573.1002.01 FOLIO: 0000000             5600.00USD		100,391.20	101,582.39
17-12-2025	PAGO CUENTA DE TERCERO/ 0077993031 BNET    1529836348 VIATICOS S51 TERNI	1,200.00		1,191.19
17-12-2025	PAGO CUENTA DE TERCERO/ 0077993020 BNET    1546486331 VIATICOS S51 TERNI	1,200.00		2,391.19
17-12-2025	TRASPASO ENTRE CUENTAS/7518812.1002.01 FOLIO: 0000000              200.00USD		3,573.41	3,591.19
16-12-2025	PAGO CUENTA DE TERCERO/ 0010596022 BNET    1507644439 ALCOHOL POSADAS	10,700.00		17.78
16-12-2025	TRASPASO ENTRE CUENTAS/7501238.1002.01 FOLIO: 0000000              562.00USD		10,009.88	10,717.78
15-12-2025	PAGO CUENTA DE TERCERO/ 0001123052 BNET    1597457192 AGUINALDO STAFF	10,000.00		707.90
15-12-2025	TRASPASO ENTRE CUENTAS/7492015.1002.01 FOLIO: 0000000              600.00USD		10,707.90	10,707.90
15-12-2025	SPEI ENVIADO BANORTE/0025379863  072 0151225AGUINALDO MEDLINE	4,080.07		0.00
15-12-2025	SPEI ENVIADO BANORTE/0025378161  072 0151225AGUINALDO MEDLINE	3,756.91		4,080.07
15-12-2025	SPEI ENVIADO BANORTE/0025376645  072 0151225AGUINALDO TERNIUM	2,814.81		7,836.98
